channel,snr_db,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
rayleigh,18,diffusion_token,25.064958572387695,1.7749242782592773,22.914188385009766,22.14496612548828,0.6916936635971069,0.06408395618200302,0.6105668544769287,0.5777835249900818,0.9999290704727173,2.191625753766857e-05,0.9999017715454102,0.9998895525932312,0.6607065796852112,0.12329757958650589,0.5039255023002625,0.4774376153945923
rayleigh,20,baseline,18.4355525970459,0.7267768979072571,17.668289184570312,17.417003631591797,0.2936997711658478,0.04398287087678909,0.24126029014587402,0.2280948907136917,0.9997557997703552,1.948568933585193e-05,0.9997323155403137,0.9997211694717407,0.9248306155204773,0.041239071637392044,0.8674488067626953,0.8476731181144714
rayleigh,20,tokenizer_cond,17.351593017578125,0.6495689153671265,16.668712615966797,16.49693489074707,0.25117287039756775,0.04363665729761124,0.19989614188671112,0.1868712306022644,0.9996883869171143,2.0779662008862942e-05,0.9996630549430847,0.9996512532234192,0.902169406414032,0.04822255298495293,0.8405908942222595,0.8075166940689087
rayleigh,20,diffusion_no_token,17.347949981689453,0.6126865148544312,16.676538467407227,16.46870231628418,0.25117745995521545,0.043333955109119415,0.20041827857494354,0.18597030639648438,0.9996881484985352,2.0320094336057082e-05,0.9996623992919922,0.9996523857116699,0.9023789763450623,0.045525360852479935,0.8398450016975403,0.8139265179634094
rayleigh,20,diffusion_token,25.180498123168945,1.6952508687973022,22.915851593017578,22.379831314086914,0.6947088837623596,0.06265269219875336,0.6117156147956848,0.586763322353363,0.9999292492866516,2.183507604058832e-05,0.999901533126831,0.999889612197876,0.6470628976821899,0.11783573031425476,0.5008711814880371,0.4725472927093506
rician,0,baseline,17.36655616760254,0.8998412489891052,16.290307998657227,15.87568187713623,0.26277536153793335,0.03796572610735893,0.21539415419101715,0.20408926904201508,0.9997468590736389,2.3605021851835772e-05,0.9997174143791199,0.9997044801712036,0.9200181365013123,0.03903951868414879,0.8644017577171326,0.8445476293563843
rician,0,tokenizer_cond,16.82771873474121,0.6029496788978577,16.114612579345703,15.85318660736084,0.22075609862804413,0.03767656162381172,0.17488473653793335,0.16337332129478455,0.9996859431266785,2.3629096176591702e-05,0.9996570944786072,0.9996427893638611,0.896507978439331,0.05126090720295906,0.8282018899917603,0.8097478151321411
rician,0,diffusion_no_token,16.828508377075195,0.6022286415100098,16.118192672729492,15.837063789367676,0.22101546823978424,0.03764824569225311,0.17638182640075684,0.1645422875881195,0.9996859431266785,2.3594877347932197e-05,0.9996550679206848,0.9996427893638611,0.9006053805351257,0.046185314655303955,0.8426178097724915,0.8092072010040283
rician,0,diffusion_token,22.23930549621582,1.3443363904953003,20.501541137695312,19.96516227722168,0.6009325981140137,0.06314798444509506,0.5209471583366394,0.49360817670822144,0.9999206066131592,2.4032129658735357e-05,0.9998893737792969,0.9998767375946045,0.6454824805259705,0.12183339893817902,0.5013430714607239,0.48198527097702026
rician,3,baseline,17.946645736694336,0.7880324721336365,16.994037628173828,16.70991325378418,0.2790154814720154,0.04157028719782829,0.22864146530628204,0.21442487835884094,0.999751091003418,2.2712072677677497e-05,0.9997222423553467,0.9997087717056274,0.9241834878921509,0.03992725536227226,0.8717861771583557,0.8466221690177917
